n.par	n.mom	n.dad	sex.ratio	noff	female.rs	females.mates	male.rs	male.mates	mp.count	mp.rs	type	lost	sim
10	4	6	1.5	180464	47833.67	2.33	23916.83	1.17	7	7972.278	Before	0	1
10	4	6	1.5	100	28.67	2.33	14.33	1.17	7	4.778	After	1	1
10	4	6	1.5	198639	56523	3.67	28261.5	1.83	11	9420.5	Before	0	2
10	4	6	1.5	100	27.33	3	13.67	1.5	9	4.556	After	2	2
10	4	6	1.5	177950	49177.33	3	24588.67	1.5	9	8196.222	Before	0	3
10	4	6	1.5	100	29.33	3	14.67	1.5	9	4.889	After	0	3
10	4	6	1.5	172102	33835.67	2.33	16917.83	1.17	7	5639.278	Before	0	4
10	4	6	1.5	100	19	2	9.5	1	6	3.167	After	1	4
10	5	5	1	261495	56998.25	1.75	45598.6	1.4	7	11399.65	Before	0	5
10	5	5	1	100	23.25	1.25	18.6	1	5	4.65	After	2	5
10	4	6	1.5	165439	39452.67	2.33	19726.33	1.17	7	6575.444	Before	0	6
10	4	6	1.5	100	23.33	2.33	11.67	1.17	7	3.889	After	0	6
10	4	6	1.5	174663	38241	3.67	19120.5	1.83	11	6373.5	Before	0	7
10	4	6	1.5	100	20.67	3.33	10.33	1.67	10	3.444	After	1	7
10	5	5	1	289063	49956.25	3.75	39965	3	15	9991.25	Before	0	8
10	5	5	1	100	17.5	3.5	14	2.8	14	3.5	After	2	8
10	5	5	1	250383	51745.75	4	41396.6	3.2	16	10349.15	Before	0	9
10	5	5	1	100	21.25	3.5	17	2.8	14	4.25	After	2	9
10	4	6	1.5	250500	52684.67	1.67	26342.33	0.83	5	8780.778	Before	0	10
9	4	5	1.25	100	22	1.33	13.2	0.8	4	4.4	After	1	10
10	4	6	1.5	267671	56146	4	28073	2	12	9357.667	Before	0	11
10	4	6	1.5	100	23.67	4	11.83	2	12	3.944	After	0	11
10	4	6	1.5	247127	66855	2.33	33427.5	1.17	7	11142.5	Before	0	12
10	4	6	1.5	100	27.33	2	13.67	1	6	4.556	After	1	12
10	4	6	1.5	304972	76801	2	38400.5	1	6	12800.167	Before	0	13
10	4	6	1.5	100	25.67	2	12.83	1	6	4.278	After	0	13
10	5	5	1	321932	63188.25	2.25	50550.6	1.8	9	12637.65	Before	0	14
10	5	5	1	100	20.25	2	16.2	1.6	8	4.05	After	1	14
10	5	5	1	308573	55634.5	2	44507.6	1.6	8	11126.9	Before	0	15
10	5	5	1	100	18	1.75	14.4	1.4	7	3.6	After	1	15
10	4	6	1.5	227545	66969.33	2.67	33484.67	1.33	8	11161.556	Before	0	16
10	4	6	1.5	100	30	2.67	15	1.33	8	5	After	0	16
10	4	6	1.5	328743	77136.67	4	38568.33	2	12	12856.111	Before	0	17
10	4	6	1.5	100	23	4	11.5	2	12	3.833	After	0	17
10	4	6	1.5	225460	49380	2.33	24690	1.17	7	8230	Before	0	18
10	4	6	1.5	100	23	2	11.5	1	6	3.833	After	1	18
10	5	5	1	324608	57437	3.25	45949.6	2.6	13	11487.4	Before	0	19
10	5	5	1	100	19.5	3	15.6	2.4	12	3.9	After	1	19
10	4	6	1.5	288263	70873.67	3	35436.83	1.5	9	11812.278	Before	0	20
10	4	6	1.5	100	24.67	2.67	12.33	1.33	8	4.111	After	1	20
10	4	6	1.5	259568	68185.67	3.33	34092.83	1.67	10	11364.278	Before	0	21
10	4	6	1.5	100	28.33	3.33	14.17	1.67	10	4.722	After	0	21
10	4	6	1.5	238626	60932	2.67	30466	1.33	8	10155.333	Before	0	22
10	4	6	1.5	100	24.33	2.33	12.17	1.17	7	4.056	After	1	22
10	5	5	1	272345	54778.75	2.5	43823	2	10	10955.75	Before	0	23
9	5	4	0.8	100	20	1.75	20	1.75	7	5	After	3	23
10	4	6	1.5	216785	45256.33	3	22628.17	1.5	9	7542.722	Before	0	24
10	4	6	1.5	100	17.67	2.67	8.83	1.33	8	2.944	After	1	24
