real.type	FS	HS	UR	total	pFS	pHS	pUR	sim
FS	20	0	0	20	1	0	0	conf.mat.colony2_sim_1.Dat
HS	0	38	6	44	0	0.864	0.136	conf.mat.colony2_sim_1.Dat
UR	0	160	9676	9836	0	0.016	0.984	conf.mat.colony2_sim_1.Dat
FS	20	2	0	22	0.909	0.091	0	conf.mat.colony2_sim_10.Dat
HS	0	10	16	26	0	0.385	0.615	conf.mat.colony2_sim_10.Dat
UR	0	164	9688	9852	0	0.017	0.983	conf.mat.colony2_sim_10.Dat
FS	20	2	0	22	0.909	0.091	0	conf.mat.colony2_sim_100.Dat
HS	0	32	2	34	0	0.941	0.059	conf.mat.colony2_sim_100.Dat
UR	0	132	9712	9844	0	0.013	0.987	conf.mat.colony2_sim_100.Dat
FS	14	0	0	14	1	0	0	conf.mat.colony2_sim_11.Dat
HS	0	24	6	30	0	0.8	0.2	conf.mat.colony2_sim_11.Dat
UR	0	148	9708	9856	0	0.015	0.985	conf.mat.colony2_sim_11.Dat
FS	10	2	0	12	0.833	0.167	0	conf.mat.colony2_sim_12.Dat
HS	0	10	10	20	0	0.5	0.5	conf.mat.colony2_sim_12.Dat
UR	0	162	9706	9868	0	0.016	0.984	conf.mat.colony2_sim_12.Dat
FS	12	0	0	12	1	0	0	conf.mat.colony2_sim_13.Dat
HS	0	18	4	22	0	0.818	0.182	conf.mat.colony2_sim_13.Dat
UR	0	162	9704	9866	0	0.016	0.984	conf.mat.colony2_sim_13.Dat
FS	10	8	0	18	0.556	0.444	0	conf.mat.colony2_sim_14.Dat
HS	0	16	8	24	0	0.667	0.333	conf.mat.colony2_sim_14.Dat
UR	0	162	9696	9858	0	0.016	0.984	conf.mat.colony2_sim_14.Dat
FS	6	4	0	10	0.6	0.4	0	conf.mat.colony2_sim_15.Dat
HS	0	20	12	32	0	0.625	0.375	conf.mat.colony2_sim_15.Dat
UR	0	164	9694	9858	0	0.017	0.983	conf.mat.colony2_sim_15.Dat
