real.type	FS	HS	UR	sim
FS	130	22	2	conf.mat.1
HS	0	192	68	conf.mat.1
UR	2	114	9370	conf.mat.1
FS	136	12	2	conf.mat.1.txt
HS	4	380	34	conf.mat.1.txt
UR	0	70	9262	conf.mat.1.txt
FS	86	20	0	conf.mat.colony2_sim_100.Dat
HS	10	188	102	conf.mat.colony2_sim_100.Dat
UR	0	174	9320	conf.mat.colony2_sim_100.Dat
FS	112	10	0	conf.mat.colony2_sim_10.Dat
HS	2	354	66	conf.mat.colony2_sim_10.Dat
UR	0	62	9294	conf.mat.colony2_sim_10.Dat
FS	146	38	0	conf.mat.colony2_sim_11.Dat
HS	2	240	40	conf.mat.colony2_sim_11.Dat
UR	0	114	9320	conf.mat.colony2_sim_11.Dat
FS	52	14	0	conf.mat.colony2_sim_12.Dat
HS	10	240	80	conf.mat.colony2_sim_12.Dat
UR	2	126	9376	conf.mat.colony2_sim_12.Dat
FS	98	12	2	conf.mat.colony2_sim_13.Dat
HS	2	240	88	conf.mat.colony2_sim_13.Dat
UR	2	120	9336	conf.mat.colony2_sim_13.Dat
FS	116	12	0	conf.mat.colony2_sim_14.Dat
HS	0	222	66	conf.mat.colony2_sim_14.Dat
UR	0	96	9388	conf.mat.colony2_sim_14.Dat
FS	62	14	0	conf.mat.colony2_sim_15.Dat
HS	6	182	134	conf.mat.colony2_sim_15.Dat
UR	2	144	9356	conf.mat.colony2_sim_15.Dat
FS	116	8	0	conf.mat.colony2_sim_16.Dat
HS	4	164	74	conf.mat.colony2_sim_16.Dat
UR	0	110	9424	conf.mat.colony2_sim_16.Dat
FS	142	26	8	conf.mat.colony2_sim_17.Dat
HS	2	170	88	conf.mat.colony2_sim_17.Dat
UR	0	110	9354	conf.mat.colony2_sim_17.Dat
FS	146	8	0	conf.mat.colony2_sim_18.Dat
HS	2	262	24	conf.mat.colony2_sim_18.Dat
UR	0	46	9412	conf.mat.colony2_sim_18.Dat
FS	144	0	0	conf.mat.colony2_sim_19.Dat
HS	2	266	50	conf.mat.colony2_sim_19.Dat
UR	0	108	9330	conf.mat.colony2_sim_19.Dat
FS	154	16	0	conf.mat.colony2_sim_20.Dat
HS	0	212	38	conf.mat.colony2_sim_20.Dat
UR	0	78	9402	conf.mat.colony2_sim_20.Dat
FS	106	14	0	conf.mat.colony2_sim_21.Dat
HS	4	230	88	conf.mat.colony2_sim_21.Dat
UR	0	146	9312	conf.mat.colony2_sim_21.Dat
FS	172	14	4	conf.mat.colony2_sim_22.Dat
HS	0	134	36	conf.mat.colony2_sim_22.Dat
UR	0	76	9464	conf.mat.colony2_sim_22.Dat
FS	78	8	2	conf.mat.colony2_sim_23.Dat
HS	2	184	92	conf.mat.colony2_sim_23.Dat
UR	0	150	9384	conf.mat.colony2_sim_23.Dat
FS	112	8	0	conf.mat.colony2_sim_24.Dat
HS	0	266	60	conf.mat.colony2_sim_24.Dat
UR	2	72	9380	conf.mat.colony2_sim_24.Dat
FS	104	20	0	conf.mat.colony2_sim_25.Dat
HS	2	248	42	conf.mat.colony2_sim_25.Dat
UR	0	90	9394	conf.mat.colony2_sim_25.Dat
FS	92	14	0	conf.mat.colony2_sim_26.Dat
HS	2	222	70	conf.mat.colony2_sim_26.Dat
UR	0	108	9392	conf.mat.colony2_sim_26.Dat
FS	192	2	0	conf.mat.colony2_sim_27.Dat
HS	6	240	34	conf.mat.colony2_sim_27.Dat
UR	0	62	9364	conf.mat.colony2_sim_27.Dat
FS	156	0	0	conf.mat.colony2_sim_28.Dat
HS	0	352	38	conf.mat.colony2_sim_28.Dat
UR	0	108	9246	conf.mat.colony2_sim_28.Dat
FS	186	0	2	conf.mat.colony2_sim_29.Dat
HS	2	176	60	conf.mat.colony2_sim_29.Dat
UR	0	128	9346	conf.mat.colony2_sim_29.Dat
FS	160	16	2	conf.mat.colony2_sim_2.Dat
HS	2	164	38	conf.mat.colony2_sim_2.Dat
UR	0	118	9400	conf.mat.colony2_sim_2.Dat
FS	72	20	0	conf.mat.colony2_sim_30.Dat
HS	2	126	130	conf.mat.colony2_sim_30.Dat
UR	0	132	9418	conf.mat.colony2_sim_30.Dat
FS	80	40	4	conf.mat.colony2_sim_31.Dat
HS	4	266	70	conf.mat.colony2_sim_31.Dat
UR	0	106	9330	conf.mat.colony2_sim_31.Dat
FS	84	20	0	conf.mat.colony2_sim_32.Dat
HS	8	142	88	conf.mat.colony2_sim_32.Dat
UR	0	162	9396	conf.mat.colony2_sim_32.Dat
FS	128	20	0	conf.mat.colony2_sim_33.Dat
HS	2	172	40	conf.mat.colony2_sim_33.Dat
UR	0	108	9430	conf.mat.colony2_sim_33.Dat
FS	86	14	2	conf.mat.colony2_sim_34.Dat
HS	0	334	96	conf.mat.colony2_sim_34.Dat
UR	0	94	9274	conf.mat.colony2_sim_34.Dat
FS	146	6	0	conf.mat.colony2_sim_35.Dat
HS	4	270	46	conf.mat.colony2_sim_35.Dat
UR	0	74	9354	conf.mat.colony2_sim_35.Dat
FS	144	4	0	conf.mat.colony2_sim_36.Dat
HS	2	226	42	conf.mat.colony2_sim_36.Dat
UR	0	88	9394	conf.mat.colony2_sim_36.Dat
FS	178	0	4	conf.mat.colony2_sim_37.Dat
HS	2	202	68	conf.mat.colony2_sim_37.Dat
UR	0	138	9308	conf.mat.colony2_sim_37.Dat
FS	104	12	2	conf.mat.colony2_sim_38.Dat
HS	6	246	48	conf.mat.colony2_sim_38.Dat
UR	0	70	9412	conf.mat.colony2_sim_38.Dat
