real.type	FS	HS	UR	rep	par	loci	sim	total	pFS	pHS	pUR
FS	890	752	0	79	10	100	Parents = 10 & Loci = 100	1642	0.542	0.458	0
HS	0	2338	1170	79	10	100	Parents = 10 & Loci = 100	3508	0	0.666	0.334
UR	0	0	4750	79	10	100	Parents = 10 & Loci = 100	4750	0	0	1
FS	730	638	0	87	10	100	Parents = 10 & Loci = 100	1368	0.534	0.466	0
HS	0	3098	2146	87	10	100	Parents = 10 & Loci = 100	5244	0	0.591	0.409
UR	0	0	3288	87	10	100	Parents = 10 & Loci = 100	3288	0	0	1
FS	1546	0	0	100	10	100	Parents = 10 & Loci = 100	1546	1	0	0
HS	0	3166	0	100	10	100	Parents = 10 & Loci = 100	3166	0	1	0
UR	0	0	5188	100	10	100	Parents = 10 & Loci = 100	5188	0	0	1
FS	1496	0	0	10	10	100	Parents = 10 & Loci = 100	1496	1	0	0
HS	0	1654	0	10	10	100	Parents = 10 & Loci = 100	1654	0	1	0
UR	0	0	6750	10	10	100	Parents = 10 & Loci = 100	6750	0	0	1
FS	1058	0	0	11	10	100	Parents = 10 & Loci = 100	1058	1	0	0
HS	0	2906	0	11	10	100	Parents = 10 & Loci = 100	2906	0	1	0
UR	0	0	5936	11	10	100	Parents = 10 & Loci = 100	5936	0	0	1
FS	2052	28	0	12	10	100	Parents = 10 & Loci = 100	2080	0.987	0.013	0
HS	0	1746	214	12	10	100	Parents = 10 & Loci = 100	1960	0	0.891	0.109
UR	0	0	5860	12	10	100	Parents = 10 & Loci = 100	5860	0	0	1
FS	990	0	0	13	10	100	Parents = 10 & Loci = 100	990	1	0	0
HS	0	2708	0	13	10	100	Parents = 10 & Loci = 100	2708	0	1	0
UR	0	0	6202	13	10	100	Parents = 10 & Loci = 100	6202	0	0	1
FS	918	0	0	14	10	100	Parents = 10 & Loci = 100	918	1	0	0
HS	0	3384	0	14	10	100	Parents = 10 & Loci = 100	3384	0	1	0
UR	0	0	5598	14	10	100	Parents = 10 & Loci = 100	5598	0	0	1
FS	1696	0	0	15	10	100	Parents = 10 & Loci = 100	1696	1	0	0
HS	0	2572	0	15	10	100	Parents = 10 & Loci = 100	2572	0	1	0
UR	0	0	5632	15	10	100	Parents = 10 & Loci = 100	5632	0	0	1
FS	1618	0	0	16	10	100	Parents = 10 & Loci = 100	1618	1	0	0
HS	0	1458	210	16	10	100	Parents = 10 & Loci = 100	1668	0	0.874	0.126
UR	0	0	6614	16	10	100	Parents = 10 & Loci = 100	6614	0	0	1
FS	952	0	0	17	10	100	Parents = 10 & Loci = 100	952	1	0	0
HS	0	3172	0	17	10	100	Parents = 10 & Loci = 100	3172	0	1	0
UR	0	0	5776	17	10	100	Parents = 10 & Loci = 100	5776	0	0	1
FS	1264	4	0	18	10	100	Parents = 10 & Loci = 100	1268	0.997	0.003	0
HS	0	1482	350	18	10	100	Parents = 10 & Loci = 100	1832	0	0.809	0.191
UR	0	0	6800	18	10	100	Parents = 10 & Loci = 100	6800	0	0	1
FS	1936	0	0	19	10	100	Parents = 10 & Loci = 100	1936	1	0	0
HS	0	1992	0	19	10	100	Parents = 10 & Loci = 100	1992	0	1	0
UR	0	0	5972	19	10	100	Parents = 10 & Loci = 100	5972	0	0	1
FS	1728	0	0	1	10	100	Parents = 10 & Loci = 100	1728	1	0	0
HS	0	1770	204	1	10	100	Parents = 10 & Loci = 100	1974	0	0.897	0.103
UR	0	0	6198	1	10	100	Parents = 10 & Loci = 100	6198	0	0	1
FS	798	0	0	20	10	100	Parents = 10 & Loci = 100	798	1	0	0
