n.par	n.mom	n.dad	sex.ratio	noff	female.rs	females.mates	male.rs	male.mates	mp.count	mp.rs	type	lost	sim
10	4	6	1.5	272434	62044.33	3.33	31022.17	1.67	10	10340.722	Before	0	1
10	4	6	1.5	100	22.67	3.33	11.33	1.67	10	3.778	After	0	1
10	5	5	1	345684	74232.5	2	59386	1.6	8	14846.5	Before	0	2
10	5	5	1	100	22.75	2	18.2	1.6	8	4.55	After	0	2
10	5	5	1	315226	60077.75	2.25	48062.2	1.8	9	12015.55	Before	0	3
10	5	5	1	100	18.25	2.25	14.6	1.8	9	3.65	After	0	3
10	4	6	1.5	273590	70628	2.33	35314	1.17	7	11771.333	Before	0	4
10	4	6	1.5	100	27	2.33	13.5	1.17	7	4.5	After	0	4
10	4	6	1.5	235841	62337.33	2.33	31168.67	1.17	7	10389.556	Before	0	5
10	4	6	1.5	100	29	2	14.5	1	6	4.833	After	2	5
10	4	6	1.5	290228	77502.67	2.33	38751.33	1.17	7	12917.111	Before	0	6
10	4	6	1.5	100	29	2.33	14.5	1.17	7	4.833	After	0	6
10	4	6	1.5	289652	74619	2	37309.5	1	6	12436.5	Before	0	7
10	4	6	1.5	100	25	2	12.5	1	6	4.167	After	0	7
10	5	5	1	281719	52613.25	2	42090.6	1.6	8	10522.65	Before	0	8
9	5	4	0.8	100	19.75	1.5	19.75	1.5	6	4.938	After	2	8
10	3	7	2.33	241412	86190	5.5	24625.71	1.57	11	12312.857	Before	0	9
10	3	7	2.33	100	35	5.5	10	1.57	11	5	After	0	9
10	4	6	1.5	314731	78832.33	3.67	39416.17	1.83	11	13138.722	Before	0	10
10	4	6	1.5	100	24.33	3.33	12.17	1.67	10	4.056	After	1	10
10	4	6	1.5	171892	39200.67	2.33	19600.33	1.17	7	6533.444	Before	0	11
10	4	6	1.5	100	19.67	2	9.83	1	6	3.278	After	1	11
10	5	5	1	318411	62933.25	2.25	50346.6	1.8	9	12586.65	Before	0	12
10	5	5	1	100	20.5	1.75	16.4	1.4	7	4.1	After	2	12
10	3	7	2.33	184739	63514	4	18146.86	1.14	8	9073.429	Before	0	13
10	3	7	2.33	100	32	3.5	9.14	1	7	4.571	After	1	13
10	4	6	1.5	194008	55285	2.33	27642.5	1.17	7	9214.167	Before	0	14
10	4	6	1.5	100	30	2.33	15	1.17	7	5	After	0	14
10	4	6	1.5	247710	53336.67	2	26668.33	1	6	8889.444	Before	0	15
9	4	5	1.25	100	23.67	1.67	14.2	1	5	4.733	After	1	15
10	4	6	1.5	293618	71157.33	2.67	35578.67	1.33	8	11859.556	Before	0	16
9	4	5	1.25	100	23	2.33	13.8	1.4	7	4.6	After	2	16
10	4	6	1.5	258411	52915	2	26457.5	1	6	8819.167	Before	0	17
10	4	6	1.5	100	20.33	2	10.17	1	6	3.389	After	0	17
10	4	6	1.5	262832	66756	4	33378	2	12	11126	Before	0	18
10	4	6	1.5	100	25	4	12.5	2	12	4.167	After	1	18
10	3	7	2.33	256048	80132.5	3	22895	0.86	6	11447.5	Before	0	19
10	3	7	2.33	100	28	3	8	0.86	6	4	After	0	19
10	5	5	1	285118	61822.5	2.25	49458	1.8	9	12364.5	Before	0	20
10	5	5	1	100	20.75	2.25	16.6	1.8	9	4.15	After	0	20
10	4	6	1.5	197391	50020.67	2.33	25010.33	1.17	7	8336.778	Before	0	21
10	4	6	1.5	100	24.33	2	12.17	1	6	4.056	After	1	21
10	4	6	1.5	267642	60728.33	3.33	30364.17	1.67	10	10121.389	Before	0	22
10	4	6	1.5	100	24	3.33	12	1.67	10	4	After	0	22
10	4	6	1.5	238482	60258.67	2.33	30129.33	1.17	7	10043.111	Before	0	23
9	4	5	1.25	100	23.33	2	14	1.2	6	4.667	After	1	23
10	5	5	1	364811	68331.25	2.5	54665	2	10	13666.25	Before	0	24
10	5	5	1	100	18.5	2.25	14.8	1.8	9	3.7	After	1	24
10	4	6	1.5	238040	67365	2.67	33682.5	1.33	8	11227.5	Before	0	25
10	4	6	1.5	100	26.33	2.33	13.17	1.17	7	4.389	After	1	25
10	4	6	1.5	205941	55299.67	5	27649.83	2.5	15	9216.611	Before	0	26
10	4	6	1.5	100	27.33	4.67	13.67	2.33	14	4.556	After	1	26
10	4	6	1.5	225123	55263	3	27631.5	1.5	9	9210.5	Before	0	27
10	4	6	1.5	100	21.33	3	10.67	1.5	9	3.556	After	0	27
10	5	5	1	361103	67044.25	2.25	53635.4	1.8	9	13408.85	Before	0	28
10	5	5	1	100	17.75	2.25	14.2	1.8	9	3.55	After	0	28
10	5	5	1	242452	47602	2.25	38081.6	1.8	9	9520.4	Before	0	29
10	5	5	1	100	20.25	2	16.2	1.6	8	4.05	After	1	29
10	4	6	1.5	154620	36270	3	18135	1.5	9	6045	Before	0	30
10	4	6	1.5	100	23	3	11.5	1.5	9	3.833	After	0	30
10	4	6	1.5	295356	83516.67	3	41758.33	1.5	9	13919.444	Before	0	31
10	4	6	1.5	100	31	3	15.5	1.5	9	5.167	After	0	31
10	5	5	1	283277	58902.75	2.25	47122.2	1.8	9	11780.55	Before	0	32
10	5	5	1	100	21.5	1.75	17.2	1.4	7	4.3	After	2	32
10	4	6	1.5	236484	52501.67	2.67	26250.83	1.33	8	8750.278	Before	0	33
10	4	6	1.5	100	24	2.67	12	1.33	8	4	After	0	33
10	4	6	1.5	334920	82180.67	2.67	41090.33	1.33	8	13696.778	Before	0	34
10	4	6	1.5	100	24.67	2.67	12.33	1.33	8	4.111	After	0	34
10	3	7	2.33	114328	31765	4	9075.71	1.14	8	4537.857	Before	0	35
10	3	7	2.33	100	33	4	9.43	1.14	8	4.714	After	0	35
10	4	6	1.5	248558	65642	2.33	32821	1.17	7	10940.333	Before	0	36
10	4	6	1.5	100	27	2.33	13.5	1.17	7	4.5	After	0	36
10	4	6	1.5	212828	60332	2.67	30166	1.33	8	10055.333	Before	0	37
10	4	6	1.5	100	29.67	2.33	14.83	1.17	7	4.944	After	1	37
10	4	6	1.5	139505	34135	4	17067.5	2	12	5689.167	Before	0	38
10	4	6	1.5	100	26.33	4	13.17	2	12	4.389	After	0	38
10	4	6	1.5	272758	71067.33	3	35533.67	1.5	9	11844.556	Before	0	39
