real.type	FS	HS	UR	total	pFS	pHS	pUR	sim
FS	140	0	0	140	1	0	0	conf.mat.colony2_sim_1.Dat
HS	2	302	14	318	0.006	0.95	0.044	conf.mat.colony2_sim_1.Dat
UR	0	6	9436	9442	0	0.001	0.999	conf.mat.colony2_sim_1.Dat
FS	90	2	0	92	0.978	0.022	0	conf.mat.colony2_sim_10.Dat
HS	0	270	2	272	0	0.993	0.007	conf.mat.colony2_sim_10.Dat
UR	0	28	9508	9536	0	0.003	0.997	conf.mat.colony2_sim_10.Dat
FS	112	2	0	114	0.982	0.018	0	conf.mat.colony2_sim_100.Dat
HS	0	314	20	334	0	0.94	0.06	conf.mat.colony2_sim_100.Dat
UR	0	14	9438	9452	0	0.001	0.999	conf.mat.colony2_sim_100.Dat
FS	138	0	0	138	1	0	0	conf.mat.colony2_sim_11.Dat
HS	0	256	18	274	0	0.934	0.066	conf.mat.colony2_sim_11.Dat
UR	0	18	9470	9488	0	0.002	0.998	conf.mat.colony2_sim_11.Dat
FS	118	2	0	120	0.983	0.017	0	conf.mat.colony2_sim_12.Dat
HS	0	370	18	388	0	0.954	0.046	conf.mat.colony2_sim_12.Dat
UR	0	18	9374	9392	0	0.002	0.998	conf.mat.colony2_sim_12.Dat
FS	96	2	0	98	0.98	0.02	0	conf.mat.colony2_sim_13.Dat
HS	0	338	16	354	0	0.955	0.045	conf.mat.colony2_sim_13.Dat
UR	0	14	9434	9448	0	0.001	0.999	conf.mat.colony2_sim_13.Dat
FS	178	2	0	180	0.989	0.011	0	conf.mat.colony2_sim_14.Dat
HS	0	262	12	274	0	0.956	0.044	conf.mat.colony2_sim_14.Dat
UR	0	26	9420	9446	0	0.003	0.997	conf.mat.colony2_sim_14.Dat
FS	168	10	0	178	0.944	0.056	0	conf.mat.colony2_sim_15.Dat
HS	0	240	10	250	0	0.96	0.04	conf.mat.colony2_sim_15.Dat
UR	0	22	9450	9472	0	0.002	0.998	conf.mat.colony2_sim_15.Dat
FS	76	0	0	76	1	0	0	conf.mat.colony2_sim_16.Dat
HS	0	336	10	346	0	0.971	0.029	conf.mat.colony2_sim_16.Dat
UR	0	16	9462	9478	0	0.002	0.998	conf.mat.colony2_sim_16.Dat
FS	62	0	0	62	1	0	0	conf.mat.colony2_sim_17.Dat
