real.type	FS	HS	UR	sim
FS	1532	0	0	conf.mat.1
HS	0	2816	0	conf.mat.1
UR	0	0	5552	conf.mat.1
FS	722	0	0	conf.mat.10
HS	0	3224	0	conf.mat.10
UR	0	0	5954	conf.mat.10
FS	1208	0	0	conf.mat.100
HS	0	2030	0	conf.mat.100
UR	0	0	6662	conf.mat.100
FS	958	0	0	conf.mat.11
HS	0	3020	0	conf.mat.11
UR	0	0	5922	conf.mat.11
FS	1338	0	0	conf.mat.12
HS	0	2718	0	conf.mat.12
UR	0	0	5844	conf.mat.12
FS	1024	0	0	conf.mat.13
HS	0	3312	0	conf.mat.13
UR	0	0	5564	conf.mat.13
FS	1870	0	0	conf.mat.14
HS	0	3964	0	conf.mat.14
UR	0	0	4066	conf.mat.14
FS	1956	0	0	conf.mat.15
HS	0	1400	0	conf.mat.15
UR	0	0	6544	conf.mat.15
FS	1410	0	0	conf.mat.16
HS	0	2786	0	conf.mat.16
UR	0	0	5704	conf.mat.16
FS	1248	0	0	conf.mat.17
HS	0	2664	0	conf.mat.17
UR	0	0	5988	conf.mat.17
FS	2426	0	0	conf.mat.18
HS	0	2338	0	conf.mat.18
UR	0	0	5136	conf.mat.18
FS	1130	0	0	conf.mat.19
HS	0	2330	0	conf.mat.19
UR	0	0	6440	conf.mat.19
FS	1044	0	0	conf.mat.2
HS	0	2580	0	conf.mat.2
UR	0	0	6276	conf.mat.2
FS	1004	0	0	conf.mat.20
HS	0	3098	0	conf.mat.20
UR	0	0	5798	conf.mat.20
FS	956	0	0	conf.mat.21
HS	0	2850	0	conf.mat.21
UR	0	0	6094	conf.mat.21
FS	1382	0	0	conf.mat.22
HS	0	3402	0	conf.mat.22
UR	0	0	5116	conf.mat.22
FS	1106	0	0	conf.mat.23
HS	0	2362	0	conf.mat.23
UR	0	0	6432	conf.mat.23
FS	1460	0	0	conf.mat.24
HS	0	1758	0	conf.mat.24
UR	0	0	6682	conf.mat.24
FS	1078	0	0	conf.mat.25
HS	0	2748	0	conf.mat.25
UR	0	0	6074	conf.mat.25
FS	810	0	0	conf.mat.26
HS	0	3546	0	conf.mat.26
UR	0	0	5544	conf.mat.26
FS	1254	0	0	conf.mat.27
HS	0	2692	0	conf.mat.27
UR	0	0	5954	conf.mat.27
FS	1190	0	0	conf.mat.28
HS	0	2200	0	conf.mat.28
UR	0	0	6510	conf.mat.28
FS	1348	0	0	conf.mat.29
HS	0	2988	0	conf.mat.29
UR	0	0	5564	conf.mat.29
FS	882	0	0	conf.mat.3
HS	0	2970	0	conf.mat.3
UR	0	0	6048	conf.mat.3
FS	1294	0	0	conf.mat.30
HS	0	2598	0	conf.mat.30
UR	0	0	6008	conf.mat.30
FS	1208	0	0	conf.mat.31
HS	0	2704	0	conf.mat.31
UR	0	0	5988	conf.mat.31
FS	1382	0	0	conf.mat.32
HS	0	2578	0	conf.mat.32
UR	0	0	5940	conf.mat.32
FS	1756	0	0	conf.mat.33
HS	0	2546	0	conf.mat.33
UR	0	0	5598	conf.mat.33
FS	1362	0	0	conf.mat.34
HS	0	3050	0	conf.mat.34
UR	0	0	5488	conf.mat.34
FS	1746	0	0	conf.mat.35
HS	0	2744	0	conf.mat.35
UR	0	0	5410	conf.mat.35
FS	2252	0	0	conf.mat.36
HS	0	2768	0	conf.mat.36
UR	0	0	4880	conf.mat.36
FS	1564	0	0	conf.mat.37
HS	0	2148	0	conf.mat.37
UR	0	0	6188	conf.mat.37
FS	980	0	0	conf.mat.38
HS	0	2726	0	conf.mat.38
UR	0	0	6194	conf.mat.38
FS	998	0	0	conf.mat.39
HS	0	2602	0	conf.mat.39
UR	0	0	6300	conf.mat.39
FS	1278	0	0	conf.mat.4
HS	0	1904	0	conf.mat.4
UR	0	0	6718	conf.mat.4
FS	1252	0	0	conf.mat.40
HS	0	2264	0	conf.mat.40
UR	0	0	6384	conf.mat.40
FS	1180	0	0	conf.mat.41
HS	0	2440	0	conf.mat.41
UR	0	0	6280	conf.mat.41
FS	1490	0	0	conf.mat.42
HS	0	2286	0	conf.mat.42
UR	0	0	6124	conf.mat.42
FS	1626	0	0	conf.mat.43
HS	0	1748	0	conf.mat.43
UR	0	0	6526	conf.mat.43
FS	1492	0	0	conf.mat.44
HS	0	3172	0	conf.mat.44
UR	0	0	5236	conf.mat.44
FS	1126	0	0	conf.mat.45
HS	0	2980	0	conf.mat.45
UR	0	0	5794	conf.mat.45
FS	1198	0	0	conf.mat.46
HS	0	2914	0	conf.mat.46
UR	0	0	5788	conf.mat.46
FS	1178	0	0	conf.mat.47
HS	0	2340	0	conf.mat.47
UR	0	0	6382	conf.mat.47
FS	784	0	0	conf.mat.48
HS	0	2902	0	conf.mat.48
UR	0	0	6214	conf.mat.48
FS	1708	0	0	conf.mat.49
HS	0	1654	0	conf.mat.49
UR	0	0	6538	conf.mat.49
FS	1910	0	0	conf.mat.5
HS	0	1636	0	conf.mat.5
UR	0	0	6354	conf.mat.5
FS	1008	0	0	conf.mat.50
HS	0	2846	0	conf.mat.50
UR	0	0	6046	conf.mat.50
FS	1024	0	0	conf.mat.51
HS	0	2426	0	conf.mat.51
UR	0	0	6450	conf.mat.51
FS	854	0	0	conf.mat.52
HS	0	3038	0	conf.mat.52
UR	0	0	6008	conf.mat.52
FS	1302	0	0	conf.mat.53
HS	0	3680	0	conf.mat.53
UR	0	0	4918	conf.mat.53
FS	1704	0	0	conf.mat.54
HS	0	1716	0	conf.mat.54
UR	0	0	6480	conf.mat.54
FS	962	0	0	conf.mat.55
HS	0	2684	0	conf.mat.55
UR	0	0	6254	conf.mat.55
FS	1430	0	0	conf.mat.56
HS	0	2014	0	conf.mat.56
UR	0	0	6456	conf.mat.56
FS	1348	0	0	conf.mat.57
HS	0	3806	0	conf.mat.57
UR	0	0	4746	conf.mat.57
FS	1298	0	0	conf.mat.58
HS	0	3236	0	conf.mat.58
UR	0	0	5366	conf.mat.58
FS	954	0	0	conf.mat.59
HS	0	3946	0	conf.mat.59
UR	0	0	5000	conf.mat.59
FS	1216	0	0	conf.mat.6
HS	0	1958	0	conf.mat.6
UR	0	0	6726	conf.mat.6
FS	1358	0	0	conf.mat.60
HS	0	2214	0	conf.mat.60
UR	0	0	6328	conf.mat.60
FS	1234	0	0	conf.mat.61
HS	0	2316	0	conf.mat.61
UR	0	0	6350	conf.mat.61
FS	1222	0	0	conf.mat.62
HS	0	1596	0	conf.mat.62
UR	0	0	7082	conf.mat.62
FS	1428	0	0	conf.mat.63
HS	0	2596	0	conf.mat.63
UR	0	0	5876	conf.mat.63
FS	2528	0	0	conf.mat.64
HS	0	3788	0	conf.mat.64
UR	0	0	3584	conf.mat.64
FS	2342	0	0	conf.mat.65
HS	0	734	0	conf.mat.65
UR	0	0	6824	conf.mat.65
FS	1794	0	0	conf.mat.66
HS	0	168	1050	conf.mat.66
UR	0	0	6888	conf.mat.66
