OffspringID 	 FatherID 	 MotherID 	 ClusterIndex
PMDCKJ1_10 	 par1_1 	 par2_1 	 1
PMDCKJ1_11 	 par1_1 	 par2_2 	 1
PMDCKJ1_12 	 par1_2 	 par2_3 	 2
PMDCKJ1_13 	 par1_1 	 par2_2 	 1
PMDCKJ1_14 	 par1_1 	 par2_2 	 1
PMDCKJ1_15 	 par1_1 	 par2_4 	 1
PMDCKJ1_16 	 par1_1 	 par2_2 	 1
PMDCKJ10_21 	 par1_3 	 par2_5 	 3
PMDCKJ11_16 	 par1_4 	 par2_6 	 4
PMDCKJ11_17 	 par1_4 	 par2_6 	 4
PMDCKJ11_18 	 par1_4 	 par2_6 	 4
PMDCKJ11_19 	 par1_4 	 par2_6 	 4
PMDCKJ11_20 	 par1_4 	 par2_6 	 4
PMDCKJ11_21 	 par1_4 	 par2_6 	 4
PMDCKJ4_12 	 par1_5 	 par2_7 	 5
PMDCKJ4_13 	 par1_6 	 par2_8 	 6
PMDCKJ4_14 	 par1_6 	 par2_8 	 6
PMDCKJ7_100 	 par1_2 	 par2_9 	 2
PMDCKJ7_101 	 par1_7 	 par2_3 	 2
PMDCKJ7_102 	 par1_4 	 par2_6 	 4
PMDCKJ7_103 	 par1_4 	 par2_6 	 4
PMDCKJ7_104 	 par1_4 	 par2_6 	 4
PMDCKJ7_106 	 par1_4 	 par2_6 	 4
PMDCKJ7_107 	 par1_2 	 par2_9 	 2
PMDCKJ7_108 	 par1_4 	 par2_6 	 4
PMDCKJ7_109 	 par1_4 	 par2_6 	 4
PMDCKJ7_110 	 par1_4 	 par2_6 	 4
PMDCKJ7_27 	 par1_4 	 par2_6 	 4
PMDCKJ7_28 	 par1_4 	 par2_6 	 4
PMDCKJ7_42 	 par1_4 	 par2_6 	 4
PMDCKJ7_57 	 par1_4 	 par2_6 	 4
PMDCKJ7_86 	 par1_4 	 par2_6 	 4
PMDCKJ7_87 	 par1_4 	 par2_6 	 4
PMDCKJ7_88 	 par1_4 	 par2_6 	 4
PMDCKJ7_89 	 par1_4 	 par2_6 	 4
PMDCKJ7_90 	 par1_4 	 par2_6 	 4
PMDCKJ7_97 	 par1_4 	 par2_6 	 4
PMDCKJ7_99 	 par1_4 	 par2_6 	 4
