chr	ntargets	chr_length	density
scaf_00001	113	27620446	4.09117
scaf_00002	90	27533741	3.26872
scaf_00003	110	25736822	4.27403
scaf_00004	135	25609086	5.27157
scaf_00005	131	24751013	5.29271
scaf_00006	123	20672177	5.95003
scaf_00007	75	19335683	3.87884
scaf_00008	59	19114974	3.08659
scaf_00009	126	17897659	7.04003
scaf_00010	82	17496545	4.68664
scaf_00011	44	16651794	2.64236
scaf_00012	92	16406480	5.60754
scaf_00013	83	16385842	5.06535
scaf_00014	65	16331332	3.98008
scaf_00015	121	16205654	7.46653
scaf_00016	82	15919453	5.15093
scaf_00017	71	15686774	4.52611
scaf_00018	71	15593438	4.5532
scaf_00019	61	14876896	4.10032
scaf_00020	60	14679631	4.0873
scaf_00021	77	14677215	5.24623
scaf_00022	33	14626029	2.25625
scaf_00023	66	14416198	4.57818
scaf_00024	49	14222432	3.44526
scaf_00025	59	13919858	4.23855
scaf_00026	63	13850470	4.54858
scaf_00027	56	13768277	4.06732
scaf_00028	43	13087733	3.28552
scaf_00029	48	12868469	3.73005
scaf_00030	51	12740602	4.00295
scaf_00031	48	12337967	3.89043
scaf_00032	20	12313589	1.62422
scaf_00033	26	12250625	2.12234
scaf_00034	25	11932523	2.09511
scaf_00035	43	11913599	3.60932
scaf_00036	71	11802952	6.01544
scaf_00037	44	11787684	3.73271
scaf_00038	53	11602258	4.56808
scaf_00039	28	11409602	2.45407
scaf_00040	28	10986172	2.54866
scaf_00041	29	10869411	2.66804
scaf_00042	28	10793095	2.59425
scaf_00043	39	10770264	3.62108
scaf_00044	23	10753504	2.13884
scaf_00045	24	9831032	2.44125
scaf_00046	17	9632494	1.76486
scaf_00047	8	9143074	0.874979
scaf_00048	23	9100886	2.52723
scaf_00049	12	9018542	1.33059
scaf_00050	29	8376573	3.46204
scaf_00051	13	8263716	1.57314
scaf_00052	18	8213846	2.19142
scaf_00053	8	7624819	1.04921
scaf_00054	22	7275947	3.02366
scaf_00055	18	7270744	2.47568
scaf_00056	17	6220833	2.73275
scaf_00057	13	5818966	2.23407
scaf_00058	22	5781402	3.80531
scaf_00059	5	5731667	0.872347
scaf_00060	7	5541335	1.26323
scaf_00061	15	5524173	2.71534
scaf_00062	12	5014761	2.39294
scaf_00063	7	4808452	1.45577
scaf_00064	3	4718765	0.63576
scaf_00065	3	4506248	0.665742
scaf_00066	2	4443882	0.450057
scaf_00067	11	3386253	3.24843
scaf_00068	8	3235266	2.47275
scaf_00069	13	3145599	4.13276
scaf_00070	10	3142355	3.18233
scaf_00072	3	3085346	0.972338
scaf_00073	5	3059869	1.63406
scaf_00074	4	2817264	1.41982
scaf_00075	5	2278467	2.19446
scaf_00076	2	2225691	0.898597
scaf_00077	3	2191165	1.36913
scaf_00078	8	2119618	3.77426
scaf_00079	5	2083644	2.39964
scaf_00080	5	2022861	2.47175
scaf_00082	9	1961080	4.58931
scaf_00083	4	1957597	2.04332
scaf_00084	1	1939213	0.515673
scaf_00085	3	1735449	1.72866
scaf_00086	3	1696191	1.76867
scaf_00087	1	1675524	0.596828
scaf_00088	12	1525368	7.86695
scaf_00089	3	1518901	1.97511
scaf_00090	2	1518823	1.31681
scaf_00092	1	1442766	0.693113
scaf_00093	2	1341853	1.49048
scaf_00094	1	1306927	0.765154
scaf_00095	1	1268781	0.788158
scaf_00096	1	1252541	0.798377
scaf_00097	2	1246296	1.60476
scaf_00098	9	1221485	7.36808
scaf_00099	9	1208093	7.44976
scaf_00100	15	1205333	12.4447
scaf_00102	1	1073456	0.931571
scaf_00103	1	1062040	0.941584
scaf_00105	11	1013312	10.8555
scaf_00106	2	961537	2.08
scaf_00107	1	945103	1.05809
scaf_00108	5	940826	5.31448
scaf_00109	2	919357	2.17543
scaf_00110	1	843186	1.18598
scaf_00111	1	833899	1.19919
scaf_00112	3	829670	3.6159
scaf_00115	2	804708	2.48537
scaf_00116	1	794742	1.25827
scaf_00120	2	697516	2.86732
scaf_00121	7	694330	10.0817
scaf_00122	1	673612	1.48453
scaf_00123	1	669176	1.49438
scaf_00124	1	667116	1.49899
scaf_00125	4	639954	6.25045
scaf_00127	4	638476	6.26492
scaf_00131	2	615715	3.24826
scaf_00132	3	606755	4.94434
scaf_00136	4	565774	7.06996
scaf_00137	4	551886	7.24787
scaf_00139	4	524733	7.62292
scaf_00140	1	523493	1.91025
scaf_00142	1	508358	1.96712
scaf_00143	3	507761	5.90829
scaf_00146	2	498090	4.01534
scaf_00147	1	487303	2.05211
scaf_00149	3	482617	6.21611
scaf_00150	1	476605	2.09817
scaf_00151	1	472823	2.11496
scaf_00152	1	468089	2.13635
scaf_00155	2	416014	4.80753
scaf_00158	1	389009	2.57063
scaf_00160	1	384768	2.59897
scaf_00161	3	383183	7.82916
scaf_00163	1	373123	2.68008
scaf_00165	1	366425	2.72907
scaf_00166	2	360888	5.54189
scaf_00168	2	348034	5.74656
scaf_00174	1	324287	3.08369
scaf_00184	2	290580	6.88279
scaf_00191	2	256231	7.80546
scaf_00193	2	252123	7.93264
scaf_00195	1	246249	4.06093
scaf_00198	1	244148	4.09588
scaf_00204	2	230379	8.68135
scaf_00207	1	223866	4.46696
scaf_00208	1	223626	4.47175
scaf_00212	1	206484	4.84299
scaf_00215	1	196835	5.0804
scaf_00218	1	192890	5.1843
scaf_00224	1	184114	5.43142
scaf_00226	1	182068	5.49245
scaf_00227	1	180524	5.53943
scaf_00236	1	165494	6.04252
scaf_00243	1	155591	6.42711
scaf_00260	1	138949	7.19689
scaf_00268	1	131402	7.61023
scaf_00278	3	123091	24.3722
scaf_00284	1	120188	8.3203
scaf_00301	2	101910	19.6252
scaf_00322	1	93044	10.7476
scaf_00400	1	70615	14.1613
scaf_00474	1	58266	17.1627
scaf_00524	2	52551	38.0583
scaf_00692	1	42164	23.7169
scaf_00922	1	33891	29.5064
scaf_00985	1	32388	30.8756
scaf_01205	1	29000	34.4828
scaf_01316	1	27678	36.1298
scaf_01572	1	25278	39.5601
scaf_02441	2	20788	96.2094
scaf_02757	1	19398	51.5517
scaf_03245	1	17460	57.2738
scaf_04541	1	13490	74.129
scaf_04689	1	13123	76.2021
scaf_04810	1	12834	77.918
scaf_10773	1	3680	271.739
